,Year,County,NIB_ASSAULT,NIB_VIOLNCO,NIB_KIDNAP,NIB_PROPTOT,NIB_MURDER,NIB_MNSLGHTR,JRN_ASSAULT,JRN_VIOLNCO,JRN_KIDNAP,JRN_MURDER,JRN_MNSLGHTR,Total Population,Total Crime,Crime %
943,2015,THURSTON,2232,690,73,11879,3,0,151,4,1,0,0,267410,15033,5.62
944,2016,THURSTON,2216,749,63,12170,6,0,117,3,2,0,0,272690,15326,5.62
967,2012,WAHKIAKUM,21,5,0,24,0,0,0,0,0,0,0,4025,50,1.24
968,2013,WAHKIAKUM,25,0,0,35,0,0,0,0,0,0,0,4020,60,1.49
969,2014,WAHKIAKUM,36,10,1,53,0,0,0,0,0,0,0,4010,100,2.49
970,2015,WAHKIAKUM,43,10,0,81,0,0,8,0,0,0,0,3980,142,3.57
971,2016,WAHKIAKUM,55,8,0,68,0,0,0,0,0,0,0,4000,131,3.28
994,2012,WALLA WALLA,206,37,2,953,1,0,0,0,0,0,0,59100,1199,2.03
995,2013,WALLA WALLA,531,110,19,3179,0,0,37,0,0,0,0,59500,3876,6.51
996,2014,WALLA WALLA,591,89,12,3199,2,0,55,0,0,1,0,60150,3949,6.57
997,2015,WALLA WALLA,577,141,12,3183,4,0,30,0,0,0,0,60650,3947,6.51
998,2016,WALLA WALLA,560,215,20,3221,2,0,20,0,0,0,0,60730,4038,6.65
1021,2012,WHATCOM,1345,252,34,8440,4,0,0,0,0,0,0,203500,10075,4.95
1022,2013,WHATCOM,1227,262,41,8478,2,0,54,1,0,0,0,205800,10065,4.89
1023,2014,WHATCOM,1718,479,46,11195,2,1,62,0,0,0,0,207600,13503,6.5
1024,2015,WHATCOM,1751,417,37,10165,6,1,75,2,2,0,0,209790,12456,5.94
1025,2016,WHATCOM,1793,398,53,10902,4,0,44,0,0,0,0,212540,13194,6.21
1048,2012,WHITMAN,321,0,0,1505,1,0,0,0,0,0,0,45950,1827,3.98
1049,2013,WHITMAN,320,0,2,1225,0,0,15,0,1,0,0,46000,1563,3.4
1050,2014,WHITMAN,389,0,0,1360,0,0,11,0,0,0,0,46500,1760,3.78
1051,2015,WHITMAN,395,0,0,1086,1,1,14,0,0,0,0,47250,1497,3.17
1052,2016,WHITMAN,360,0,1,784,0,0,12,0,0,0,0,47940,1157,2.41
1075,2012,YAKIMA,2677,703,23,12171,12,0,0,0,0,0,0,246000,15586,6.34
1076,2013,YAKIMA,3174,914,24,12880,16,1,186,3,1,2,0,247250,17201,6.96
1077,2014,YAKIMA,3146,867,43,12261,7,0,176,6,5,1,0,248800,16512,6.64
1078,2015,YAKIMA,3530,1240,66,12943,21,0,200,7,2,2,0,249970,18011,7.21
1079,2016,YAKIMA,3686,1037,56,13439,20,1,218,5,1,2,0,250900,18465,7.36
