,Year,County,Total Population,Total Crime,Classification,Orig_DF
152,2014,snohomish,741000,3517,Metropolitan,Robbery
153,2015,snohomish,757600,6547,Metropolitan,Robbery
154,2016,snohomish,772860,22561,Metropolitan,Robbery
155,2012,spokane,475600,779,Metropolitan,Robbery
156,2013,spokane,480000,721,Metropolitan,Robbery
157,2014,spokane,484500,755,Metropolitan,Robbery
158,2015,spokane,488310,778,Metropolitan,Robbery
159,2016,spokane,492530,8892,Metropolitan,Robbery
160,2012,state,6817770,148982,,Robbery
161,2013,state,6882400,166443,,Robbery
162,2014,state,6968170,186992,,Robbery
163,2015,state,7061410,190404,,Robbery
164,2016,state,7183700,220813,,Robbery
165,2012,stevens,43700,665,Metropolitan,Robbery
166,2013,stevens,43800,593,Metropolitan,Robbery
167,2014,stevens,43900,628,Metropolitan,Robbery
168,2015,stevens,44030,573,Metropolitan,Robbery
169,2016,stevens,44100,483,Metropolitan,Robbery
170,2012,thurston,256800,2740,Metropolitan,Robbery
171,2013,thurston,260100,2235,Metropolitan,Robbery
172,2014,thurston,264000,7036,Metropolitan,Robbery
173,2015,thurston,267410,7791,Metropolitan,Robbery
174,2016,thurston,272690,8017,Metropolitan,Robbery
175,2012,wahkiakum,4025,14,Noncore,Robbery
176,2013,wahkiakum,4020,19,Noncore,Robbery
177,2014,wahkiakum,4010,27,Noncore,Robbery
178,2015,wahkiakum,3980,43,Noncore,Robbery
179,2016,wahkiakum,4000,39,Noncore,Robbery
180,2012,walla walla,59100,595,Metropolitan,Robbery
181,2013,walla walla,59500,2003,Metropolitan,Robbery
182,2014,walla walla,60150,1981,Metropolitan,Robbery
183,2015,walla walla,60650,2058,Metropolitan,Robbery
184,2016,walla walla,60730,2020,Metropolitan,Robbery
185,2012,whatcom,203500,5265,Metropolitan,Robbery
186,2013,whatcom,205800,5647,Metropolitan,Robbery
187,2014,whatcom,207600,7322,Metropolitan,Robbery
188,2015,whatcom,209790,6763,Metropolitan,Robbery
189,2016,whatcom,212540,7131,Metropolitan,Robbery
190,2012,whitman,45950,854,Micropolitan,Robbery
191,2013,whitman,46000,710,Micropolitan,Robbery
192,2014,whitman,46500,807,Micropolitan,Robbery
193,2015,whitman,47250,599,Micropolitan,Robbery
194,2016,whitman,47940,428,Micropolitan,Robbery
195,2012,yakima,246000,7242,Metropolitan,Robbery
196,2013,yakima,247250,7286,Metropolitan,Robbery
197,2014,yakima,248800,7393,Metropolitan,Robbery
198,2015,yakima,249970,7962,Metropolitan,Robbery
199,2016,yakima,250900,8379,Metropolitan,Robbery
0,2012,adams,19050,1609,Micropolitan,Properties
1,2013,adams,19200,1685,Micropolitan,Properties
2,2014,adams,19400,1609,Micropolitan,Properties
3,2015,adams,19410,1332,Micropolitan,Properties
4,2016,adams,19510,1037,Micropolitan,Properties
5,2012,asotin,21700,1066,Metropolitan,Properties
6,2013,asotin,21800,1219,Metropolitan,Properties
7,2014,asotin,21950,1097,Metropolitan,Properties
8,2015,asotin,22010,1173,Metropolitan,Properties
9,2016,asotin,22150,1202,Metropolitan,Properties
10,2012,benton,180000,8392,Metropolitan,Properties
11,2013,benton,183400,8226,Metropolitan,Properties
12,2014,benton,186500,8128,Metropolitan,Properties
13,2015,benton,188590,7735,Metropolitan,Properties
14,2016,benton,190500,7950,Metropolitan,Properties
15,2012,chelan,73200,1051,Metropolitan,Properties
16,2013,chelan,73600,2722,Metropolitan,Properties
17,2014,chelan,74300,2377,Metropolitan,Properties
18,2015,chelan,75030,2691,Metropolitan,Properties
