,Year,County,NIB_PROPTOT,NIB_ARSON,NIB_BRIBERY,NIB_BURGLARY,JRN_ARSON,JRN_BURGLARY,Total Population,Total Crime,Crime %
994,2012,WALLA WALLA,953,4,0,176,0,0,59100,1133,1.92
995,2013,WALLA WALLA,3179,15,0,409,0,8,59500,3611,6.07
996,2014,WALLA WALLA,3199,23,0,408,0,13,60150,3643,6.06
997,2015,WALLA WALLA,3183,30,0,377,1,12,60650,3603,5.94
998,2016,WALLA WALLA,3221,20,0,355,1,3,60730,3600,5.93
1021,2012,WHATCOM,8440,13,0,869,0,0,203500,9322,4.58
1022,2013,WHATCOM,8478,11,0,862,0,20,205800,9371,4.55
1023,2014,WHATCOM,11195,22,0,1410,1,16,207600,12644,6.09
1024,2015,WHATCOM,10165,16,0,1147,0,21,209790,11349,5.41
1025,2016,WHATCOM,10902,32,1,1388,0,14,212540,12337,5.8
1048,2012,WHITMAN,1505,7,0,172,0,0,45950,1684,3.66
1049,2013,WHITMAN,1225,0,0,161,0,2,46000,1388,3.02
1050,2014,WHITMAN,1360,6,0,189,1,11,46500,1567,3.37
1051,2015,WHITMAN,1086,4,1,173,0,5,47250,1269,2.69
1052,2016,WHITMAN,784,2,0,123,0,4,47940,913,1.9
1075,2012,YAKIMA,12171,21,1,2129,0,0,246000,14322,5.82
1076,2013,YAKIMA,12880,37,1,2238,1,62,247250,15219,6.16
1077,2014,YAKIMA,12261,53,0,2102,7,37,248800,14460,5.81
1078,2015,YAKIMA,12943,48,0,2277,0,37,249970,15305,6.12
1079,2016,YAKIMA,13439,50,0,2051,1,19,250900,15560,6.2
