Date,Sales,Excise Tax Due,Sales (Shelf Price)
5/8/2015,1967710.088,393542.0175,1574168.07
5/9/2015,1432533.338,286506.6675,1146026.67
5/10/2015,794016.4375,158803.2875,635213.15
5/11/2015,1408552.238,281710.4475,1126841.79
5/12/2015,1376656,275331.2,1101324.8
5/13/2015,1635969.038,327193.8075,1308775.23
5/14/2015,1911507.738,382301.5475,1529206.19
5/15/2015,2320799,464159.8,1856639.2
5/16/2015,1496523.213,299304.6425,1197218.57
5/17/2015,1284522.55,256904.51,1027618.04
5/18/2015,1841873.775,368374.755,1473499.02
5/19/2015,1673147.9,334629.58,1338518.32
5/20/2015,1699927.488,339985.4975,1359941.99
5/21/2015,2140104.488,428020.8975,1712083.59
5/22/2015,2345628.363,469125.6725,1876502.69
5/23/2015,2113927.125,422785.425,1691141.7
5/24/2015,1131173.463,226234.6925,904938.77
5/25/2015,1140912.213,228182.4425,912729.77
5/26/2015,1509947.1,301989.42,1207957.68
5/27/2015,1698702.688,339740.5375,1358962.15
5/28/2015,2113020.3,422604.06,1690416.24
5/29/2015,2348897.338,469779.4675,1879117.87
5/30/2015,1636511.213,327302.2425,1309208.97
5/31/2015,2249359.05,449871.81,1799487.24
6/1/2015,1737971.2,347594.24,1390376.96
6/2/2015,1489140.313,297828.0625,1191312.25
6/3/2015,1997348.1,399469.62,1597878.48
6/4/2015,2080989,416197.8,1664791.2
6/5/2015,2375456.475,475091.295,1900365.18
6/6/2015,1613721.425,322744.285,1290977.14
6/7/2015,1056170.075,211234.015,844936.06
6/8/2015,1638308.2,327661.64,1310646.56
6/9/2015,1673839.513,334767.9025,1339071.61
6/10/2015,1951776,390355.2,1561420.8
6/11/2015,2143889.688,428777.9375,1715111.75
6/12/2015,2491992.025,498398.405,1993593.62
6/13/2015,1682157.613,336431.5225,1345726.09
6/14/2015,1079346.2,215869.24,863476.96
6/15/2015,1747579.7,349515.94,1398063.76
6/16/2015,1841568.45,368313.69,1473254.76
6/17/2015,2101859.25,420371.85,1681487.4
6/18/2015,2080713.738,416142.7475,1664570.99
6/19/2015,2617396.763,523479.3525,2093917.41
6/20/2015,1840374.4,368074.88,1472299.52
6/21/2015,1062458.05,212491.61,849966.44
6/22/2015,2537675.9,507535.18,2030140.72
6/23/2015,2120543.85,424108.77,1696435.08
6/24/2015,2018744.013,403748.8025,1614995.21
6/25/2015,2418579.063,483715.8125,1934863.25
6/26/2015,3150635.35,630127.07,2520508.28
6/27/2015,1661893.363,332378.6725,1329514.69
6/28/2015,1122152.013,224430.4025,897721.61
6/29/2015,1717629.6,343525.92,1374103.68
6/30/2015,2471062.875,494212.575,1976850.3
7/1/2015,1799589.97,350685.65,2150275.62
7/2/2015,1954326.75,422616.2,2376942.95
7/3/2015,1928017.77,488418.37,2416436.14
7/4/2015,801310.02,248538.07,1049848.09
7/5/2015,715872.38,242647.8,958520.18
7/6/2015,1168375.45,321428.99,1489804.44
7/7/2015,1343885.17,298374.54,1642259.71
7/8/2015,1489018.6,314153.93,1803172.53
7/9/2015,1433637.06,298036.93,1731673.99
7/10/2015,2063203.61,456790.68,2519994.29
7/11/2015,1174051.43,367894,1541945.43
7/12/2015,833242.44,273244.38,1106486.82
7/13/2015,1247779.24,295928.73,1543707.97
7/14/2015,1207824.14,288663.41,1496487.55
7/15/2015,1667163.65,322608.16,1989771.81
7/16/2015,1754967.95,340888.14,2095856.09
7/17/2015,1868463.47,463166.28,2331629.75
7/18/2015,1204478.92,395495.63,1599974.55
7/19/2015,1217033.67,416105.61,1633139.28
7/20/2015,1530474.69,325698.34,1856173.03
7/21/2015,1584327.11,431240.93,2015568.04
7/22/2015,1757001.49,419947.89,2176949.38
7/23/2015,1789744.54,345807.98,2135552.52
7/24/2015,2111195.31,533410.84,2644606.15
7/25/2015,1302490.18,401991.36,1704481.54
7/26/2015,849684.08,283165.89,1132849.97
7/27/2015,1787389.49,451237.02,2238626.51
7/28/2015,1432506.28,315064.17,1747570.45
7/29/2015,1616260.45,326140.19,1942400.64
7/30/2015,1868603.09,363723.46,2232326.55
7/31/2015,3097935.55,828134.24,3926069.79
8/1/2015,1295681.46,427279.15,1722960.61
8/2/2015,908176.08,307315.96,1215492.04
8/3/2015,1602513.03,375144.63,1977657.66
8/4/2015,1369921.4,340843.62,1710765.02
8/5/2015,1674994.37,370518.41,2045512.78
8/6/2015,1936299.71,391840.23,2328139.94
8/7/2015,2187477.62,509502.2,2696979.82
8/8/2015,1420030.69,440294.34,1860325.03
8/9/2015,980251.15,326835.28,1307086.43
8/10/2015,1554586.21,361054.42,1915640.63
8/11/2015,1516841.68,356690.5,1873532.18
8/12/2015,1658813.21,351686.97,2010500.18
8/13/2015,2028491.37,383762.76,2412254.13
8/14/2015,2352868.59,523620.01,2876488.6
8/15/2015,1425109.5,451566.24,1876675.74
8/16/2015,1269631.46,398013.19,1667644.65
8/17/2015,1571969.38,360295.68,1932265.06
8/18/2015,1508487.68,344138.34,1852626.02
8/19/2015,1667387.28,359957.15,2027344.43
8/20/2015,2173088.67,414048.9,2587137.57
8/21/2015,2481932.11,550271.45,3032203.56
8/22/2015,1468301.26,447318.39,1915619.65
8/23/2015,986716.55,318115.48,1304832.03
8/24/2015,1733304.46,379084.39,2112388.85
8/25/2015,1698196.52,366600.41,2064796.93
8/26/2015,1844300.95,377392.94,2221693.89
8/27/2015,2164241.93,382260.11,2546502.04
8/28/2015,3403894.09,845457.99,4249352.08
8/29/2015,1819279.94,516664.15,2335944.09
8/30/2015,1416099.87,434974.02,1851073.89
8/31/2015,2378985.83,627398.64,3006384.47
9/1/2015,2067436.19,441212.88,2508649.07
