RETAILERS,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
414569,12/1/2014 - 12/31/2014," $80,861 "," $20,215 "
414785,12/1/2014 - 12/31/2014," $286,084 "," $71,521 "
413773,12/1/2014 - 12/31/2014," $36,063 "," $9,016 "
414723,12/1/2014 - 12/31/2014," $424,435 "," $106,109 "
413541,12/1/2014 - 12/31/2014," $23,324 "," $5,831 "
414250,12/1/2014 - 12/31/2014," $22,682 "," $5,670 "
413803,12/1/2014 - 12/31/2014," $15,428 "," $3,857 "
414963,12/1/2014 - 12/31/2014," $8,358 "," $2,089 "
413369,12/1/2014 - 12/31/2014," $6,635 "," $1,659 "
415001,12/1/2014 - 12/31/2014," $37,779 "," $9,445 "
413586,12/1/2014 - 12/31/2014, $236 , $59 
414280,12/1/2014 - 12/31/2014," $82,875 "," $20,719 "
413600,12/1/2014 - 12/31/2014," $6,760 "," $1,690 "
412066,12/1/2014 - 12/31/2014," $35,148 "," $8,787 "
415094,12/1/2014 - 12/31/2014," $91,006 "," $22,751 "
415314,12/1/2014 - 12/31/2014," $143,603 "," $35,901 "
415206,12/1/2014 - 12/31/2014," $19,768 "," $4,942 "
415037,12/1/2014 - 12/31/2014," $98,401 "," $24,600 "
419759,12/1/2014 - 12/31/2014," $21,175 "," $5,294 "
414060,12/1/2014 - 12/31/2014," $78,638 "," $19,660 "
413544,12/1/2014 - 12/31/2014," $81,563 "," $20,391 "
412494,12/1/2014 - 12/31/2014," $59,843 "," $14,961 "
417511,12/1/2014 - 12/31/2014," $38,211 "," $9,553 "
414817,12/1/2014 - 12/31/2014," $103,327 "," $25,832 "
415410,12/1/2014 - 12/31/2014," $41,897 "," $10,474 "
414243,12/1/2014 - 12/31/2014," $38,073 "," $9,518 "
413980,12/1/2014 - 12/31/2014," $142,693 "," $35,673 "
414970,12/1/2014 - 12/31/2014," $109,044 "," $27,261 "
413366,12/1/2014 - 12/31/2014," $48,662 "," $12,166 "
413819,12/1/2014 - 12/31/2014," $305,905 "," $76,476 "
415083,12/1/2014 - 12/31/2014," $91,835 "," $22,959 "
414889,12/1/2014 - 12/31/2014," $100,329 "," $25,082 "
413530,12/1/2014 - 12/31/2014," $10,341 "," $2,585 "
413347,12/1/2014 - 12/31/2014," $250,277 "," $62,569 "
415112,12/1/2014 - 12/31/2014," $162,946 "," $40,736 "
414295,12/1/2014 - 12/31/2014," $218,092 "," $54,523 "
413940,12/1/2014 - 12/31/2014," $50,375 "," $12,594 "
353260,12/1/2014 - 12/31/2014," $116,522 "," $29,131 "
413372,12/1/2014 - 12/31/2014," $433,040 "," $108,260 "
415662,12/1/2014 - 12/31/2014," $76,908 "," $19,227 "
414418,12/1/2014 - 12/31/2014," $21,080 "," $5,270 "
415229,12/1/2014 - 12/31/2014," $168,401 "," $42,100 "
414574,12/1/2014 - 12/31/2014," $70,032 "," $17,508 "
413414,12/1/2014 - 12/31/2014," $84,021 "," $21,005 "
413732,12/1/2014 - 12/31/2014," $975,230 "," $243,807 "
415130,12/1/2014 - 12/31/2014," $169,772 "," $42,443 "
414876,12/1/2014 - 12/31/2014," $295,614 "," $73,904 "
413843,12/1/2014 - 12/31/2014," $164,675 "," $41,169 "
413901,12/1/2014 - 12/31/2014," $38,760 "," $9,690 "
413801,12/1/2014 - 12/31/2014," $37,365 "," $9,341 "
400209,12/1/2014 - 12/31/2014," $28,529 "," $7,132 "
414417,12/1/2014 - 12/31/2014," $519,367 "," $129,842 "
415526,12/1/2014 - 12/31/2014," $49,045 "," $12,261 "
415470,12/1/2014 - 12/31/2014," $123,984 "," $30,996 "
413762,12/1/2014 - 12/31/2014," $87,095 "," $21,774 "
412466,12/1/2014 - 12/31/2014," $54,575 "," $13,644 "
415325,12/1/2014 - 12/31/2014," $69,771 "," $17,443 "
413700,12/1/2014 - 12/31/2014," $23,696 "," $5,924 "
413374,12/1/2014 - 12/31/2014," $53,154 "," $13,288 "
415575,12/1/2014 - 12/31/2014," $92,912 "," $23,228 "
412495,12/1/2014 - 12/31/2014," $50,548 "," $12,637 "
414430,12/1/2014 - 12/31/2014," $95,325 "," $23,831 "
412370,12/1/2014 - 12/31/2014," $114,691 "," $28,673 "
413886,12/1/2014 - 12/31/2014," $94,269 "," $23,567 "
413358,12/1/2014 - 12/31/2014," $294,281 "," $73,570 "
413739,12/1/2014 - 12/31/2014," $258,693 "," $64,673 "
414664,12/1/2014 - 12/31/2014," $205,034 "," $51,259 "
413596,12/1/2014 - 12/31/2014," $89,861 "," $22,465 "
413683,12/1/2014 - 12/31/2014," $519,788 "," $129,947 "
414256,12/1/2014 - 12/31/2014," $76,349 "," $19,087 "
414225,12/1/2014 - 12/31/2014," $211,244 "," $52,811 "
414292,12/1/2014 - 12/31/2014," $5,740 "," $1,435 "
414983,12/1/2014 - 12/31/2014," $204,654 "," $51,163 "
415361,12/1/2014 - 12/31/2014," $2,678 ", $670 
410798,12/1/2014 - 12/31/2014," $174,479 "," $43,620 "
413314,12/1/2014 - 12/31/2014," $88,372 "," $22,093 "
414520,12/1/2014 - 12/31/2014," $186,707 "," $46,677 "
413319,12/1/2014 - 12/31/2014," $664,066 "," $166,016 "
412921,12/1/2014 - 12/31/2014," $63,356 "," $15,839 "
413558,12/1/2014 - 12/31/2014," $182,542 "," $45,636 "
413481,12/1/2014 - 12/31/2014," $100,241 "," $25,060 "
415243,12/1/2014 - 12/31/2014," $23,986 "," $5,997 "
RETAILERS PERIOD TOTAL,12/1/2014 - 12/31/2014," $11,605,492 "," $2,901,373 "
415010,1/1/2015 - 1/31/2015," $5,948 "," $1,487 "
414550,1/1/2015 - 1/31/2015," $19,890 "," $4,973 "
414533,1/1/2015 - 1/31/2015," $833,204 "," $208,301 "
413798,1/1/2015 - 1/31/2015," $4,590 "," $1,147 "
413534,1/1/2015 - 1/31/2015, $908 , $227 
414755,1/1/2015 - 1/31/2015," $38,386 "," $9,597 "
414680,1/1/2015 - 1/31/2015," $99,927 "," $24,982 "
414785,1/1/2015 - 1/31/2015," $274,925 "," $68,731 "
414723,1/1/2015 - 1/31/2015," $408,195 "," $102,049 "
413541,1/1/2015 - 1/31/2015," $33,582 "," $8,396 "
413803,1/1/2015 - 1/31/2015," $71,777 "," $17,944 "
414250,1/1/2015 - 1/31/2015," $16,919 "," $4,230 "
413773,1/1/2015 - 1/31/2015," $79,191 "," $19,798 "
414963,1/1/2015 - 1/31/2015," $68,022 "," $17,005 "
413369,1/1/2015 - 1/31/2015," $52,038 "," $13,009 "
415001,1/1/2015 - 1/31/2015," $44,459 "," $11,115 "
413586,1/1/2015 - 1/31/2015," $25,972 "," $6,493 "
414280,1/1/2015 - 1/31/2015," $74,392 "," $18,598 "
413600,1/1/2015 - 1/31/2015," $34,598 "," $8,650 "
414716,1/1/2015 - 1/31/2015," $19,085 "," $4,771 "
415216,1/1/2015 - 1/31/2015," $19,581 "," $4,895 "
413821,1/1/2015 - 1/31/2015," $2,443 ", $611 
413802,1/1/2015 - 1/31/2015," $10,849 "," $2,712 "
415094,1/1/2015 - 1/31/2015," $86,556 "," $21,639 "
415064,1/1/2015 - 1/31/2015," $9,731 "," $2,433 "
415314,1/1/2015 - 1/31/2015," $172,656 "," $43,164 "
413737,1/1/2015 - 1/31/2015," $13,294 "," $3,324 "
414539,1/1/2015 - 1/31/2015, $685 , $171 
413550,1/1/2015 - 1/31/2015," $11,491 "," $2,873 "
414867,1/1/2015 - 1/31/2015," $5,916 "," $1,479 "
415206,1/1/2015 - 1/31/2015," $24,510 "," $6,127 "
415037,1/1/2015 - 1/31/2015," $123,090 "," $30,773 "
414060,1/1/2015 - 1/31/2015," $86,684 "," $21,671 "
412494,1/1/2015 - 1/31/2015," $101,089 "," $25,272 "
413544,1/1/2015 - 1/31/2015," $100,567 "," $25,142 "
417511,1/1/2015 - 1/31/2015," $37,698 "," $9,424 "
414817,1/1/2015 - 1/31/2015," $117,352 "," $29,338 "
414243,1/1/2015 - 1/31/2015," $62,666 "," $15,666 "
415410,1/1/2015 - 1/31/2015," $69,979 "," $17,495 "
413980,1/1/2015 - 1/31/2015," $190,395 "," $47,599 "
414970,1/1/2015 - 1/31/2015," $80,497 "," $20,124 "
413366,1/1/2015 - 1/31/2015," $47,978 "," $11,994 "
413819,1/1/2015 - 1/31/2015," $325,650 "," $81,412 "
415083,1/1/2015 - 1/31/2015," $64,075 "," $16,019 "
414889,1/1/2015 - 1/31/2015," $104,977 "," $26,244 "
413530,1/1/2015 - 1/31/2015," $7,403 "," $1,851 "
413347,1/1/2015 - 1/31/2015," $215,548 "," $53,887 "
415112,1/1/2015 - 1/31/2015," $271,599 "," $67,900 "
414295,1/1/2015 - 1/31/2015," $377,103 "," $94,276 "
353260,1/1/2015 - 1/31/2015," $128,888 "," $32,222 "
413940,1/1/2015 - 1/31/2015," $94,102 "," $23,526 "
413372,1/1/2015 - 1/31/2015," $480,545 "," $120,136 "
415662,1/1/2015 - 1/31/2015," $95,106 "," $23,776 "
415229,1/1/2015 - 1/31/2015," $185,758 "," $46,439 "
414876,1/1/2015 - 1/31/2015," $295,149 "," $73,787 "
415130,1/1/2015 - 1/31/2015," $157,413 "," $39,353 "
413843,1/1/2015 - 1/31/2015," $160,455 "," $40,114 "
413414,1/1/2015 - 1/31/2015," $93,846 "," $23,461 "
414574,1/1/2015 - 1/31/2015," $70,467 "," $17,617 "
414418,1/1/2015 - 1/31/2015," $27,435 "," $6,859 "
413732,1/1/2015 - 1/31/2015," $1,004,356 "," $251,089 "
413901,1/1/2015 - 1/31/2015," $61,642 "," $15,410 "
413801,1/1/2015 - 1/31/2015," $40,887 "," $10,222 "
400209,1/1/2015 - 1/31/2015," $28,988 "," $7,247 "
413700,1/1/2015 - 1/31/2015," $26,750 "," $6,688 "
415325,1/1/2015 - 1/31/2015," $120,961 "," $30,240 "
415526,1/1/2015 - 1/31/2015," $48,674 "," $12,169 "
415470,1/1/2015 - 1/31/2015," $113,661 "," $28,415 "
413762,1/1/2015 - 1/31/2015," $93,569 "," $23,392 "
412466,1/1/2015 - 1/31/2015," $54,030 "," $13,507 "
414417,1/1/2015 - 1/31/2015," $514,371 "," $128,593 "
413374,1/1/2015 - 1/31/2015," $66,742 "," $16,686 "
415575,1/1/2015 - 1/31/2015," $102,678 "," $25,669 "
412495,1/1/2015 - 1/31/2015," $58,687 "," $14,672 "
414430,1/1/2015 - 1/31/2015," $113,825 "," $28,456 "
412370,1/1/2015 - 1/31/2015," $126,537 "," $31,634 "
413886,1/1/2015 - 1/31/2015," $90,241 "," $22,560 "
413358,1/1/2015 - 1/31/2015," $330,430 "," $82,608 "
413739,1/1/2015 - 1/31/2015," $245,179 "," $61,295 "
414664,1/1/2015 - 1/31/2015," $255,247 "," $63,812 "
413683,1/1/2015 - 1/31/2015," $419,206 "," $104,802 "
